Cluster,NETMONTHLYINCOME_mean,NETMONTHLYINCOME_median,AGE_mean,AGE_median,Time_With_Curr_Empr_mean,Time_With_Curr_Empr_median,EDUCATION_mean,EDUCATION_median
0,38914.23975238414,30000.0,42.51430483520161,43.0,264.4554124142546,246.0,2.7160783001505773,3.0
1,26302.287643979056,24000.0,29.398062827225132,29.0,80.84329842931938,71.0,3.9220942408376964,4.0
2,22847.64369554695,20000.0,29.188831074540175,29.0,87.25713939980639,76.0,1.4446393998063891,2.0
3,25066.492035762,23000.0,44.70085294419895,44.0,114.72150858082416,122.0,1.970917685746583,2.0
