feature,mean_abs_shap,pct_total_shap
cibil_score,0.40337176247796486,79.72048024436944
loan_term,0.0567578575847339,11.217353531393236
loan_amount,0.015690033872919933,3.1009038107072
annual_income,0.00776013816072499,1.5336768670549883
residential_assets_value,0.00563755348705554,1.1141793085130451
luxury_assets_value,0.004511368676078363,0.8916054887109728
commercial_assets_value,0.00433181309411407,0.8561189758801876
bank_asset_value,0.0032657582419564177,0.6454289556894687
dependents,0.0025856187116645437,0.5110094076899728
self_employed,0.001294559706524149,0.25585063484644094
education,0.0007761407592124598,0.1533927751450545
