feature,point_biserial_corr,mi_score
dependents,0.01811442286217766,0.0
education,0.0049178659606941375,0.006625899618911468
self_employed,0.0003445075349438533,0.0006300868769306689
annual_income,0.015189156991943608,0.0
loan_amount,0.01614968392531592,0.0
loan_term,0.11303578494915416,0.018156078440810353
cibil_score,0.7705183649807027,0.5079374694962937
residential_assets_value,0.014378745892183879,0.0
commercial_assets_value,0.008245868278426232,0.0
luxury_assets_value,0.01546471119480948,0.006185702359301937
bank_asset_value,0.006778439800372123,0.0
